Language;Original;Gloss;Translation;Type;Remarks;Source;Citekey;Page;Exno;AddSourceInfo;Predicate;SbjPrs;SbjNbr;SbjGen;SbjCase;RPrs;RNbr;RGen;RCase;TPrs;TNbr;TGen;TCase
Arramba;Ndu ngɑm-o ndu-n fɑri twɑ-mɑnd-Ø.;1SG.POSS mother-ERG 1SG-OBL string 1SG.ABS-give-3SG.IMM.PAST;My mother gave the string to me.;ICSA;Alternates with ICIA, Agr sensitive to salience;(Marco Boevé & Katawer Baku, personal communication, 6 May 2008) via (Reesink (2013: 229);Reesink2013;229;13b;;give;3;SG;;ERG;1;SG;;OBL;3;SG;;ABS
Arramba;Nɑfo to ngɑ ndjondjo ndɑmbɑ de-mnd-ɑx (ndu-nɑmbo).;3SG PAST one thing small 3SG.ABS-give.LTD-REM.PAST 1SG-TO.HUMAN;He gave something small (to me).;ICIA;;(Marco Boevé & Katawer Baku, personal communication, 6 May 2008) via (Reesink (2013: 229);Reesink2013;229;14;;give;3;SG;;;1;SG;;;3;SG;;ABS
Arramba;Ñgɑw-o ndu-n xɑnda ñgurnɑñɑ́r thɑ-rino-(w)-endeg.;father-ERG 1SG.OBL-to big cloth 3SG.ABS-give-SG.SUBJ.PROG.PAST;Father gave me big clothes.;ICIA;;(Marco Boevé & Katawer Baku, personal communication, 6 May 2008) via (Reesink (2013: 229);Reesink2013;229;15a;;give;3;SG;;ERG;1;SG;;OBL;3;SG;;ABS
Arramba;Ñgɑw-o ndu-n xɑndɑ ñgurnɑñgɑ́r xufɑ-rino-(w)-endeg.;father-ERG 1SG.OBL-to big cloth 1SG.ABS-give-SG.SUBJ.PROG.PAST;Father gave me big clothes.;ICSA;;(Marco Boevé & Katawer Baku, personal communication, 6 May 2008) via (Reesink (2013: 229);Reesink2013;229;15b;;give;3;SG;;ERG;1;SG;;OBL;3;SG;;ABS
Bantawa;ɨ-cilok pɨw-a-ŋ-kʰa-ŋ;his/her-few give-PT-1s-see-1s ;give me a little bit;ICSA;Alternates with ICIA/NCIA, Agr sensitive to predicate (sell);Doornenbal (2009: 180);Doornenbal2009;180;348;;give (imperative);;;;;1;SG;;;3;SG;;
Bantawa;mo [e(i) ram-lai kələm pɨ-Ø-ʔo] mɨna(i) saŋ?;that Rām-DAT pen give-3P-NOM man who;Who is the man that gave the pen to Rām?;ICSA;;Doornenbal (2009: 201);Doornenbal2009;201;398;;give;;;;;3;SG;;DAT;3;SG;;ABS
Bantawa;[syam-ʔa Ram e(i) pɨ-Ø-ʔo] kələm(i) rato mu-Ø-yaŋ-Ø;Śyām-ERG Rām give-3P-NOM pen red be.pred-NPT-PROG-NPT;The pen that Śyām gave Rām is red.;SA;;Doornenbal (2009: 201);Doornenbal2009;201;400;;give;3;SG;;ERG;3;SG;;ABS;3;SG;;ABS
Bantawa;ɨŋka-ʔa ram rə syam ɨk-tet cʰapdani pɨ-ŋ-cɨ-ŋ.;I-ERG Rām and Śyām one-QUAL pen give-1s-DUP-1sc;I gave Rām and Śyām one pen;SA;;Doornenbal (2009: 215);Doornenbal2009;215;422d;;give;1;SG;;ERG;3;PL;;ABS;3;SG;;ABS
Bantawa;ɨŋka-ʔa ram hwa-tet gadi-ci in-uŋ-cɨ-ŋ. ;I-ERG Rām two-QUAL car-PL sell-1s-DUP-1s ;I sold Rām two cars;NCIA;;Doornenbal (2009: 215);Doornenbal2009;215;423a;;sell;1;SG;;ERG;3;SG;;ABS;3;PL;;ABS
Bantawa;ɨŋka-ʔa ram-da hwa-tet gadi-ci in-uŋ-cɨ-ŋ. ;I-ERG Rām-LOC two-QUAL car-PL sell-1s-DUP-1s;I sold two cars to Rām;ICIA;;Doornenbal (2009: 215);Doornenbal2009;215;423b;;sell;1;SG;;ERG;3;SG;;LOC;3;PL;;ABS
Bawm;nangmah Ø ka nan umpî;you  I you marry;I marry you;Transitive;S.145/147!;Reichle (1981: 24);Reichle1981;24;;;marry;1;SG;;;/;/;/;/;2;SG;;ABS
Bawm;dawrâ a nar nâ;sheep he banish them;he banishes the sheep;Transitive;;Reichle (1981: 25);Reichle1981;25;;;banish;3;SG;;;/;/;/;/;3;PL;;ABS
Bawm;mipâ nih chabu a hawng ka pêk mi chu a tha lo.;man ag book he me give dep it good not;the book that the man gave me is bad;ICSA;S.35;Reichle (1981: 93);Reichle1981;93;;;give;3;SG;;ERG;1;SG;;;3;SG;;ABS
Bawm;mipâ nih a hawng ka pêk mi chabu a tha lo.;[man ag he me give book it good not];the book that the man gave me is bad;ICSA;;Reichle (1981: 93);Reichle1981;93;;;give;3;SG;;ERG;1;SG;;;3;SG;;ABS
Bawm;hinah an um mi sinah ka pêk.;here they be to I give;I give to those who are here;IC;mit Dativ Objekt/rezipient;Reichle (1981: 103);Reichle1981;103;;;give;1;SG;;;3;PL;;DAT;/;/;/;/
Bawm;ka duh mi sinah ka pêk.;I like to I give;I give to whom I like;IC;mit Dativ Objekt/rezipient;Reichle (1981: 103);Reichle1981;103;;;give;1;SG;;;3;SG;;DAT;/;/;/;/
Bawm;ka duh tu sinah ka pêk.;my love to I give;I give to my lover;IC;mit Dativ Objekt/rezipient;Reichle (1981: 103);Reichle1981;103;;;give;1;SG;;;3;SG;;DAT;/;/;/;/
Bawm;ngâksia rangah tangkâ a pêk;child to money he give;he gives money to the child;ICSA; dritte Person singular=Ø (S.25, 147);Reichle (1981: 122);Reichle1981;122;;;give;3;SG;;;3;SG;;DAT;3;SG;;ABS
Bawm;a sinah chabu ka pêk;him to book I give;I give the book to him;ICSA; dritte Person singular=Ø (S.25, 147);Reichle (1981: 122);Reichle1981;122;;;give;1;SG;;;3;SG;;DAT;3;SG;;ABS
Bawm;nan sinah chabu ka nan pêk;you to book I you give;I give the book to you.;ICSA;;Reichle (1981: 122);Reichle1981;122;;;give;1;SG;;;2;SG;;DAT;3;SG;;ABS
Bawm;na sinah chabu ka nan pêk;you to book I you give;I gave the book to you;ICSA;;Reichle (1981: 149);Reichle1981;149;;;give;1;SG;;;2;SG;;DAT;3;SG;;ABS
Bawm;nan rangah chabu ka nan pêk nâ;you to book I  give;I gave the book to you (pl);ICSA;;Reichle (1981: 149);Reichle1981;149;;;give;1;SG;;;2;PL;;DAT;3;SG;;ABS
Bawm;zeital hawng ka pêk!;me give;give me any of them.;ICSA;;Reichle (1981: 157);Reichle1981;157;;;give (imperative);;;;;1;SG;;;3;PL;;ABS
Bawm;zeimawhzât hawng ka pêk;me give;he gave me a couple of them;ICSA;;Reichle (1981: 158);Reichle1981;158;;;give;3;SG;;;1;SG;;;3;PL;;ABS
Bawm;zeilo a hawng ka pêk;he me give;he gave me a trifle/a pretty thing;ICSA;;Reichle (1981: 161);Reichle1981;161;;;give;3;SG;;;1;SG;;;3;SG;;ABS
Bawm;hi chabu tal hi hawng ka pêk;this book this me give;give me at least this book/this book only;ICSA;;Reichle (1981: 161);Reichle1981;161;;;give (imperative);;;;;1;SG;;;3;SG;;ABS
Burushaski;Ja-a in-mo-r hán tofá-an mu-ú-abayam.;1SG-ERG 3SG.F-OBL-DAT one gift-INDEF.ABS 3.F.OBJ-give-1SG.SBJ;I have given her a gift.;ICSA;Alternates with ICIA, Agr sensitive to predicate (for certain verbs, DAT vs. PP);Baker (2015: 12);Baker2015b;12;20a;;give;1;SG;;ERG;3;SG;F;DAT;3;SG;;ABS
Burushaski;Hilés-e dasín-mo-r toofá-muts píish o-t-imi.;boy-ERG girl-OBL-DAT gift-PL.ABS present 3PL.OBJ-do-3SG.SBJ.PST;The boy presented gifts to the girl.;ICIA;;Baker (2015: 12);Baker2015b;12;20b;;present;3;SG;M;ERG;3;SG;F;DAT;3;PL;;ABS
Chukchi;ne-jəl-mək ətrˀec kante-t;INV-give-1PL.OBJ only lollies-3PL.ABS;They just gave us lollies.;ICSA;Alternates with ICIA[1], Agr sensitive to person;Dunn (1999: 207);Dunn1999;207;29;;give;3;PL;;;1;PL;;;3;PL;;ABS
Chukchi;ləɣen ɣamɣa-tago ɣamɣa-ramkəlˀ-etə n-ə-jəl-qin ;really EMPH-food.3SG.ABS EMPH-guest-ALL HAB-EP-give-3PL.SBJ>3SG.OBJ;… they only gave [this] special food to special guests.;ICIA;;Dunn (1999: 207);Dunn1999;207;31;;give;3;PL;;;3;PL;;ALL;3;SG;;ABS
Gidar;à-tàw-ə́-kà;3.M.SBJ-slaughter-3.M.OBJ-PFV;He slaughtered it.;Transitive;Alternates with ICIA, Agr sensitive to predicate (for verbs other than give, applicative?);Frajzyngier (2008: 145);Frajzyngier2008;145;1;;slaughter;3;SG;M;;/;/;/;/;3;SG;M;
Gidar;á-psə́-n ɬú sə̀-n tìzí;IMP-give-3.M meat DAT-3.M Tizi;Give Tizi meat!;ICSA;;Frajzyngier (2008: 175);Frajzyngier2008;175;10;;give (imperative);;;;;3;SG;M;DAT;3;SG;;NOM
Gidar;á-psə́-t ɬú sə̀-t glùkú;IMP-give-3.F meat DAT-3.F married.woman;Give meat to a/the married woman!;ICSA;;Frajzyngier (2008: 175);Frajzyngier2008;175;11;;give (imperative);;;;;3;SG;F;;3;SG;;NOM
Gidar;á-psə́-t ɬú sə̀-t kə̀zá;IMP-give-3.F meat DAT-3.F Kiza;Give Kiza meat!;ICSA;;Frajzyngier (2008: 175);Frajzyngier2008;175;12;;give (imperative);;;;;3;SG;F;;3;SG;;NOM
Gidar;tə́-psə́-t híl̜íw sə́-t mbə̀dá-t tə́-sə̀-g-ə̀-n ɓà;3.F.SBJ-give-3.F.OBJ calabash DAT-3.F in-law-3.F 3.F.SBJ-drink-caus-3.M NEG;She didn’t give the calabash to her co-wife to drink from.;ICSA;;Frajzyngier (2008: 174);Frajzyngier2008;174;13;;give;3;SG;F;;3;SG;F;DAT;3;SG;;NOM
Gidar;nə̀-plá-n sù-kú-k wàɬì ná-wà;1SG.SBJ-leave-3.M.OBJ DAT-2SG-PFV cow GEN-1SG.POSS;I left you my cow.;ICIA;;Frajzyngier (2008: 178);Frajzyngier2008;178;14;;leave;1;SG;;;2;SG;;DAT;3;SG;M;NOM
Gidar;nə̀-plá-nə́-k wàɬì ná-wà sù-kó;1SG.SBJ-leave-3.M.OBJ-PFV cow GEN-1SG.POSS DAT-2SG;I left you my cow.;ICIA;;Frajzyngier (2008: 178);Frajzyngier2008;178;15;;leave;1;SG;;;2;SG;;DAT;3;SG;M;NOM
Hyow;cu=la key=a cɔ ʔe-pek;3SG=ERG 1SG=LOC book 1O-give;He gave me a book.;ICSA;;Peterson (2003: 179);Peterson2003;179;17;;give;3;SG;;ERG;1;SG;;LOC;3;SG;;ABS
Hyow;key naŋ=a cɔ kini-pek;1SG=ERG 2SG=LOC book 1.A.2O-give;I gave you a book.;ICSA;;Peterson (2003: 179);Peterson2003;179;18;;give;1;SG;;ERG;2;SG;;LOC;3;SG;;ABS
Hyow;key piya naŋ=a kini-dɔn-aʔy-sɔ;1SG wife 2SG=LOC 1.A.2O-show-FUT-CONCL;I'm going to show you my wife.;ICSA;;Peterson (2003: 179);Peterson2003;179;19;;show;1;SG;;;2;SG;;LOC;3;SG;;ABS
Hyow;naŋ piya key=a khrɔŋ-nɔ-dçn-aʔy-sɔ-wey;2SG wife 1SG=LOC lO-2SG.A-show-FUT-CONCL-INTERR;Are you going to show me your wife?;ICSA;;Peterson (2003: 179);Peterson2003;179;20;;show;2;SG;;;1;SG;;LOC;3;SG;;ABS
Ika;Tigri-se' tšinu kä-ga-na.;jaguar-ERG pig PERIPH-eat-DIST;A jaguar ate his pig.;Transitive;;Frank (1985: 12);Frank1985;12;24;;eat;3;SG;;ERG;/;/;/;/;3;SG;;NOM
Ika;Abran-di Juan-se' kafé a'be u-ž-in.;Abran-TOP Juan-LOC coffee deliver AUX-MED-WIT;Abran delivered coffee to Juan.;ICSA;Third person object agreement prefixes are null.;Frank (1985: 28);Frank1985;28;48;;deliver;3;SG;;;3;SG;;LOC;3;SG;;NOM
Ika;Nä-niwe-'zasana ki u-ž-e?;2.SBJ-1PL.OBJ-pay CNTR AUX-MED-INTERR;Did you pay us?;Transitive;;Frank (1985: 70);Frank1985;70;126;;pay;2;SG;;;/;/;/;/;1;PL;;
Ika;Kafé Pablo-se' k-ängei'-na-rua ni.;coffee Pablo-loc periph-sell-dist-1S cert;I sold coffee to Pablo.;ICSA;Third person object agreement prefixes are null.;Frank (1985: 94);Frank1985;94;169b;;sell;1;SG;;;3;SG;;LOC;3;SG;;NOM
Ika;mi-ta'-kw-in;//O:tu-chercher-S:intralocutif-assert.//;Je te cherche.;Transitive;;Landaburu (1992: 14);Landaburu1992;14;;;chercher;1;SG;;;/;/;/;/;2;SG;;
Ika;Ø-mikʉ-tak-a u-w-in ;//O:il-OI.4 :tu-chercher-perfectif/faire-S:intralocutif-assert.//;Je te l'ai cherché;ICSA;;Landaburu (1992: 15);Landaburu1992;15;;;chercher;1;SG;;;2;SG;;;3;SG;;
Ika;Ø-nʉkʉ-chw-a u-y-in;//O:il-OI.4:je-voir-perfectif/faire-S: extralocutif-assert.//;il me l'a vu (quelque chose à moi);ICSA;;Landaburu (1992: 15);Landaburu1992;15;;;voir;3;SG;;;1;SG;;;3;SG;;
Itelmen;i kma ənna-nk βaɬč t-zəl-nen;and I him-DAT knife 1SG.SBJ-give-3SG.OBL;And I gave the knife to him.;ICSA;Context: My brother came.;Bobaljik and Wurmbrand (2002: 17);BobWur2002;17;20b;;give;1;SG;;ABS;3;SG;;DAT;3;SG;;ABS
Itelmen;qeɬnu zlatumx-enk t-zəl-čen;really brother-DAT 1SG.SBJ-give-1SG.SBJ>3SG.OBJ;Didn’t I give it to my brother?;ICIA;Context: Where is the knife?;Bobaljik and Wurmbrand (2002: 17);BobWur2002;17;20a;;give;1;SG;;;3;SG;;DAT;3;SG;;
Jingulu;Ngunyɑ-ngɑ-nu wurrɑku ngimɑ-rni bɑbirdimi-rni ngindɑ-bɑjɑ-rnɑ wɑwɑ-lɑ-rnɑ.;give-1SG-did 3PL.ACC that(v)-FOC yam-FOC that(m)-pl.anim-DAT child-pl-DAT;I gave this yam to the children.;ICSA;3. person O = ∅;Pensalfini (2003: 106);Pensalfini2003;106;4.46a;;give;1;SG;;;3;PL;;DAT/ACC;3;SG;;ABS
Jingulu;Ngini-rni bundurru ngabɑ-ngɑ-rruku ngɑrnu ngindi-rnɑ mɑrlukɑ-rnɑ.;that(n)-FOC food have-1SG-went 3SG.ACC.m that(m)-DAT old.man-DAT;I took some food to that old man.;ICSA;;Pensalfini (2003: 106);Pensalfini2003;106;4.46b;;take;1;SG;;;3;SG;;DAT/ACC;3;SG;;ABS
Jingulu;Ngɑbɑ-ngɑ-rriyi ngɑrnu ngini-rni bundurru ngunyɑ-ngɑ-rriyi nyindɑ.;have-1SG-will.go 3SG.ACC.m DEM(n)-FOC food give-1SG-will.go DEM(m);I'm going to give that fellow some food.;ICSA;;Pensalfini (2003: 106);Pensalfini2003;106;4.46f;;give;1;SG;;;3;SG;;ACC;3;SG;;ABS
Jingulu;Dungumi-nginyi-ju ngɑrnu, ngɑnku ngunnyɑ-ngɑ-ju ngɑrnu. ;pay.back-1S.2O-do 3SG.ACC.m 2SG-ACC give-1SG-do 3SG.ACC.m;I'm paying you back for this, giving you this one.;NCSA;;Pensalfini (2003: 107);Pensalfini2003;107;4.46h;;give;1;SG;;;2;SG;;ACC;3;SG;;ACC
Jingulu;Ngunyi-nginyi-nyi-ju kunyɑku.;give-1dl.Exc-2O-do 2dl.ACC  ;We'll give them to the pair of you.;ICSA;R can alternate with ABS (full NPs), DAT and ACC syncretic for pronouns;Pensalfini (2003: 107);Pensalfini2003;107;4.46j;;give;1;DU;;;2;DU;;ACC;3;PL;;
Jingulu;Ngunyɑ-ɑnɑ-mi ngɑmɑniki-rni milɑkurrmi-rni, ngunyɑ-ɑnɑ-mi!;give-1O-IRR this(v)-FOC yam-FOC give-1O-IRR;Give me these yams, give them to me!;NCSA;Pensalfini (2003: 105–109, 212–214, 216–220);Pensalfini (2003: 107);Pensalfini2003;107;4.46k;;give (imperative);;;;;1;SG;;;3;PL;;ABS
Jingulu;Nyɑmi-rni ngɑmulɑ-rni jɑngɑn juwɑ-ɑnɑ-mi.;DEM(m)-ERG big-ERG push-1O-IRR;That big bloke pushed me out: of the way.;Transitive;;Pensalfini (2003: 212);Pensalfini2003;212;6.6a;;push;3;SG;;ERG;/;/;/;/;1;SG;;
Jingulu;Kurrɑlɑ dɑrdu-wɑlɑ ngɑjɑ-nyɑ-nu ngɑnku.;2PL.NOM mob see-2O-did 2SG.ACC;She saw you mob.;Transitive;;Pensalfini (2003: 212);Pensalfini2003;212;6.6b;;see;3;SG;;;/;/;/;/;2;SG;;ACC
Jingulu;Ngɑɑku ngunyi-nginyi-yi ngɑnku ngɑlɑjku-nu. ;later give-1SGS.2O-FUT 2SG.ACC exchange-did;I'll give you something back for that.;ICSA;;Pensalfini (2003: 218);Pensalfini2003;218;6.10i;;give;1;SG;;;2;SG;;ACC;3;SG;;
Jingulu;Angkulɑ lɑngkɑj nyɑ-yi ngɑrru, kilimi miyi-nginyi-yi ngɑnku. ;NEG listen 2SG-FUT 1SG.ACC nose hit-1SGS.20-FUT 2SG.ACC;If you don't listen to me I'll punch you in the nose.;ICSA;;Pensalfini (2003: 218);Pensalfini2003;218;6.10j;;punch;1;SG;;;2;SG;;ACC;3;SG;;ABS
Kanuri;Shí-rò yí-kìn.;3SG-DAT give-1SG-ASP;I will give it to him.;ICSA;;Hutchison (1981: 46);;46;;;give;1;SG;;;3;SG;;DAT;3;SG;;
Kanuri;fə́lé-s-gə̀-ìn;show-1SG.OBJ-APPL(II)-ASP;S/he shows (it) to me.;ICSA;;Hutchison (1981: 93);;;;;show;3;SG;;;1;SG;;;3;SG;;
Kanuri;n-jí-k-ìn;2SG.OBJ-give-1SG.SBJ-ASP;I give you;ICSA;;Hutchison (1981: 136);;;;;give;1;SG;;;2;SG;;;;;;
Kanuri;Câ wú-ró kúngə́ǹdə́ cín-àà, kùwámísôn kátèndên àmânnà.;formerly 1SG-DAT money give-COND? …;If he had given me money, I would still trust him.;ICSA;;Hutchison (1981: 294);;;;;give;3;SG;;;1;SG;;DAT;3;SG;;
Kanuri;Ali-a suruna. ;Ali-ACC saw;Ali saw him/her.;Transitive;;Hutchison (1986: 195);;191;1;;see;3;SG;;NOM;/;/;/;/;3;SG;;ACC?
Komnzo;nze rokar kwa th-ra-a-frms-é wtri=f z zu-ä-faf-∅;1SG.ERG thing FUT 2|3NSG.𝛽-IRR-VC|ND-prepare.RS-1SG  fear=ERG ALR 1SG.𝛾-ND-hold.RS-2|3SG;I will prepare (my) things. I am already scared.;Transitive;R=DAT, T=ABS, P=ABS;Döhler (2018: 205);Döhler2018;205;30;;prepare;1;PL;;ERG;/;/;/;/;3;PL;;ABS
Komnzo;nzun nafa-emoth zu-ä-r-a-th fof (.) bänemr (.) fäms ŋare=r;1SG.DAT 3.POSS-sister 1SG.𝛾 -VC.ND-give.RS-PST-2|3NSG EMPH (.) RECOG.PURP (.) exchange woman=PURP;They gave me their sister as that … as an exchange woman.;ICSA;;Döhler (2018: 205);Döhler2018;205;31;;give;3;PL;;;1;SG;;DAT;3;SG;;ABS
Komnzo;be=wä mitafo s-a-brim-∅ nzun fefe kw-a-gathif-∅;2SG.ERG=EMPH spirit 3SG.MASC.𝛽-VC.ND-return.RS-2SG.IMP 1SG.DAT body 1SG.𝛽-VC.ND-leave.behind.RS-2SG.IMP;You take his spirit back and leave the body for me!;ICSA;Döhler (2018: 204–207);Döhler (2018: 206);Döhler2018;206;34;;leave;2;SG;;ERG;1;SG;;DAT;3;SG;;ABS
Komnzo;nafane bärbär=nzo keke kw-ra-r-∅;3SG.POSS half=ONLY NEG 1SG.𝛽-IRR.ND.VC-give.RS-2|3SG;She will not give me half of her (fish).;ICSA;R nicht overt, R an Verb markiert;Döhler (2018: 227);Döhler2018;227;55;;give;3;SG;;;1;SG;;;3;SG;;ABS
Komnzo;nä kwot kw-rä-r-th fafä;some again 1SG.𝛽-IRR.PL.VC-give.RS-2|3NSG after.that;They might give me some more later.;ICSA;R nicht overt, R an Verb markiert;Döhler (2018: 227);Döhler2018;227;56;;give;3;PL;;;1;SG;;;3;SG;;ABS
Komnzo;zba nezä e-a-ri-thr-o-th fäms ŋare=r boba nezä e-a-n-ri-thr-th fäms ŋare=r;PROX.ABL in.return 2|3NSG.𝛼-VC-give.EXT-ND-AND-NSG exchange woman=PURP MED.ABL in.return 2|3NSG.𝛼-VC-VENT-give.EXT-ND-2|3NSG;From here, they give them girls to exchange. In return, they give them girls to exchange from there.;ICSA;R nicht overt, R an Verb markiert;Döhler (2018: 229);Döhler2018;229;59;;give;3;PL;;;3;PL;;;3;PL;;ABS
Komnzo;emoth nafa ŋa\ri/nth fof;girl 3NSG.ERG 2|3DU:SBJ:NPST:IPFV/give EMPH;They give each other sisters.;ICSA;;Döhler (2018: 294);Döhler2018;294;25;;give;3;DU;;ERG;3;DU;;;3;PL;;ABS
Komnzo;watik bad fof thari-si za\thkäf/ake (.) bad w\thari/nzake za\bth/ake;then ground EMPH dig-NMLZ 1PL:SBJ>3SG.FEM:OBJ:PST:PFV/start (.) ground 1PL:SBJ>3SG.FEM:OBJ:PST:IPFV/dig 1PL:SBJ>3SG.FEM:OBJ:PST:PFV/start;Then we started to dig the ground. We were digging the ground and finished it.;Transitive;;Döhler (2018: 317);Döhler2018;317;10;;dig;1;SG;;;/;/;/;/;3;SG;F;ABS
Komnzo;wri no n sä\thkäf/ath yari-si;drunk water IMN 2|3PL:SBJ>3SG.MASC:IO:PST:PFV/start give-NMLZ;They were about to give him alcohol.;ICSA;R nicht overt, R an Verb markiert;Döhler (2018: 317);Döhler2018;317;11;;give;3;PL;;;3;SG;;;3;SG;;ABS
Koryak;ɣəm-nan t-ə-jəl-ɣi ɣən-k-ə-ŋ urvaq;1SG-ERG 1SG.SBJ-EP-give-2SG.OBJ 2SG-OBL-EP-DAT shirt.ABS.SG;I gave a shirt to you.;ICSA;;Abramovitz (2021: 139);Abramovitz2021;139;284a;;give;1;SG;;ERG;2;SG;;DAT;3;SG;;ABS
Koryak;jequ=ʔam ɣəmmo ɣən-k-ə-ŋ ne-jəl-ɣəm?;why=FOC 1SG.ABS 2SG-OBL-EP-DAT INV-give-1SG.OBJ;Why did they give me to you?;ICIA;;Abramovitz (2021: 139);Abramovitz2021;139;285a;;give;3;PL;;;2;SG;;DAT;1;SG;;ABS
Koryak;t-ə-jəl-ə-n əj-k-ə-ŋ kali-kal;1SG.SBJ-give-EP-3SG.OBJ 3.NON.SG-OBL.NON.SG-EP-DAT book-ABS.SG;I gave a book to them.;ICIA;;Abramovitz (2021: 139);Abramovitz2021;139;286;;give;1;SG;;;3;PL;;DAT;3;SG;;ABS
Kwomtari;Mwi le-tuwɑ-fo-lɑ-ne-ke…;track do-MOT.AWAY-3S.O-P.DUR-1/3P.R-SEQ;We tracked it and then…;Transitive;;Spencer (2008: 110);Spencer2008;110;36;;track;1;PL;;;/;/;/;/;3;SG;;
Kwomtari;Nɑli fetɑ-lee-lu yesou-le pilu-le-fo-lee;3.PN see-3S.R-NN something-GL mark-do-3S.O-3S.R;He drew something he saw.;Transitive;patient mit GL markiert, SCSA?;Spencer (2008: 110);Spencer2008;110;37;;draw;3;SG;;;/;/;/;/;3;SG;;GL
Kwomtari;Nɑnu unɑ-ne ɑri fɑne-o-be.;3.PN 2.PN-GL child give.S-1/2S.O-3S.IR;She will give the child to you.;ICSA;S.92 für Informationen zu goal -le;Spencer (2008: 110);Spencer2008;110;39;;give;3;SG;;;2;SG;;GL/DAT;3;SG;;NOM
Kwomtari;... busmɑni-le wo-fɑne-te-ie-ke, “Fori ine prɑfe-lee-e?” nɑ-o-ne.;clan-GL DIR.AWAY-give.S-3P.O-1S.R-SEQ pig who shoot.S-3S.R-EXC say-1/2S.O-1/3P.R;I gave (some) to a clan, and they asked me, “Who shot the pig?";ICSA;;Spencer (2008: 110);Spencer2008;110;40;;give;1;SG;;;3;PL;;GL/DAT;3;SG;;
Mauwake;Wiipa erup wia sesek-a-mik.;girl two 3p.ACC send-PA-1/3p;They sent two girls.;Transitive;R=DAT, T=NOM/ACC;Berghäll (2015: 159);Berghäll2015;159;498;;send;3;PL;;;/;/;/;/;3;PL;;ACC
Mauwake;Mɑɑ fɑin me iw-o-k.;thing this not give.him/her-PA-3s;He did not give this thing to him/her.;ICSA;Stem suppletion based on person of R;Berghäll (2015: 163);Berghäll2015;163;522;;give;3;SG;;;3;SG;;;3;SG;;NOM
Mauwake;Wɑɑyɑ pun enɑk-e-mik.;pig too feed.me-PA-1/3p;They also gave me pork to eat.;ICSA;;Berghäll (2015: 163);Berghäll2015;163;523;;give;3;PL;;;1;SG;;;3;SG;;NOM
Mauwake;Amiɑ=iyɑ nenɑr-e-mik=i?;bow=COM shoot.you-PA-1/3p=QM;Did they shoot you with a gun?;ICSA;;Berghäll (2015: 163);Berghäll2015;163;524;;shoot;3;PL;;;3;SG;;;3;SG;;NOM
Mauwake;Miiw-ɑɑsɑ=pɑ wi-om-e.;land-canoe=LOC give.them-BEN-BNFY1.IMP.2S;Give it to them for me in the car.;ICSA;;Berghäll (2015: 164);Berghäll2015;164;526;;give;2;;;;3;PL;;;3;SG;;
Mauwake;[Muɑ yiɑr ekɑp-e-mik nɑin]O [purɑ kui-kuisow]O wi-e-mik.;man 1p.DAT come-PA-1/3p that bunch RDP-one give.them-PA-1/3p;We gave a bunch each to the men who came to us.;ICSA;;Berghäll (2015: 261);Berghäll2015;261;45;;give;1;PL;;;3;PL;;DAT;3;PL;;NOM
Mauwake;I [oporɑ muut nɑin]O [nefɑ]O mɑɑk-u na-ep ep-a-mik.;1p.UNM talk only thus 2s.ACC tell-IMP.2d say-ss.seq come-PA-1/3p ;We came wanting to tell you just that (talk).;ICSA;;Berghäll (2015: 261);Berghäll2015;261;46;;come;1;PL;;;2;SG;;ACC;3;SG;;NOM
Mauwake;Wi [momɑ]O [yiɑ]O maak-i-mik, momɑ=ko wi-i-yɑn.;3p.UNM taro 1p.ACC tell-Np-PR.1/3p taro=NF give.them-Np-FU.1p ;They tell us (to get them) taro, (so) we’ll give them taro.;ICSA;;Berghäll (2015: 261);Berghäll2015;261;47;;give;1;PL;;;3;PL;;;3;SG;;NOM
Mauwake;[Wɑɑyɑ]O [yiɑ]O nɑ-iwkin wɑɑyɑ wienɑk-em-ik-e-mik.;pig 1p.ACC say-2/3p.DS pig feed.them-SS.SIM-be-PA-1/3p ;They spoke about pigs to us and we kept giving them pigs to eat.;ICSA;;Berghäll (2015: 261);Berghäll2015;261;48;;give;1;PL;;;3;PL;;;3;PL;F;NOM
Menya;Rupenɑ̈ i=qu eiti kinɑ ɑ̈-w-i-k-qɑ̈qɑ̈=i Semɑ̈ i=qu=e nyi eiti kinɑ ɑ̈-n-tɑp-k-qäqä=i;Reuben that=M eighty kina ASS-3-do-PA/PFV-3S/DSO=IND Shem that=M=OJ 1S eighty kina ASS-1S-give-PA/PFV-3S/DSO=IND  ;Reuben gave him, that is Shem, eighty kina. He gave me eighty kina.;ICSA;first part of (19), the recipient object (labelled as O) is human and bears the object clitic =d, and the verb prefix is third person agreeing with Shem.;Whitehead (2006: 24);Whitehead2006;24;19;1st half;give;3;SG;;NOM;3;SG;;ACC/DOM;3;PL;;
